movieID,avg rating,duration,Year
82,0.50,138,2022
261553,3.50,175,2021
228179,4.50,142,2015
196133,0.50,145,2014
195791,0.50,153,2018
195789,0.50,196,2003
194901,0.50,157,2017
194572,0.50,105,2014
194002,0.50,145,2018
253894,3.00,82,2020
266026,3.00,90,2013
253662,4.00,88,2008
141292,2.00,67,1996
81795,4.00,56,2009
228025,2.50,107,2020
225675,2.00,112,2015
262745,3.50,81,1983
248220,3.00,36,2005
201769,3.00,70,1955
196161,2.00,88,1991
196159,2.50,171,1988
196157,3.00,142,1986
196155,3.00,90,1985
192485,2.50,110,1994
269908,0.50,84,1980
229901,0.50,115,2010
227368,0.50,76,2009
225275,0.50,68,2006
217989,1.00,102,2009
200956,0.50,89,2018
139293,0.50,189,2009
144638,4.00,57,2014
247876,4.50,172,2011
154749,4.00,107,1974
143174,3.50,141,1988
143172,5.00,198,1990
141966,3.00,118,1994
284859,2.00,208,2015
229107,4.00,31,2007
137427,3.00,43,2008
165615,2.00,210,2015
136968,1.50,190,1989
136966,3.00,171,1992
133812,2.00,141,1988
254112,4.00,57,2021
250936,2.50,110,2019
237762,2.00,159,2020
223025,2.00,209,2018
219334,2.00,74,2020
197349,3.00,193,2016
193483,3.00,45,2016
224913,3.00,63,2018
232139,0.50,115,2017
157815,2.50,87,1995
157737,3.50,204,2001
158677,1.00,50,2013
259965,2.50,113,2018
273643,4.00,61,1964
273641,4.00,85,2021
273637,4.50,58,2014
254752,3.50,167,2021
202247,2.50,138,2012
197381,3.50,33,2018
194580,2.50,207,2017
192873,3.50,70,1973
192477,3.50,46,1991
192421,3.50,96,1987
192363,3.00,74,2012
192311,2.50,182,2006
192309,3.00,39,2017
192305,3.00,61,1993
192271,3.00,159,1972
192099,3.00,80,2012
192077,2.00,157,2002
192075,2.50,87,2005
192031,3.50,106,1969
192029,3.50,157,1964
192011,3.50,182,2007
191863,3.50,71,2015
191841,2.00,30,2006
191637,3.50,133,2005
191431,3.50,178,1984
191073,2.50,147,1993
190875,3.50,200,1990
190591,3.00,76,2004
190589,3.00,165,2006
190587,2.50,96,2008
190585,3.00,196,2008
190353,2.50,36,2017
188791,3.50,33,1991
187925,3.00,133,2005
187913,3.00,95,2009
187895,2.50,50,2009
187879,3.00,153,2006
187877,3.00,89,2005
187845,4.00,117,1985
187843,3.50,124,1985
187841,3.50,91,1988
187839,3.00,62,1990
187837,3.00,173,1994
187835,3.00,134,1985
187833,3.00,65,1989
183007,2.50,46,1991
182997,2.50,50,1993
180575,3.50,166,2014
180335,3.00,53,1987
180333,3.00,80,1987
173471,3.00,81,2002
288673,2.00,165,2022
214816,3.50,95,2007
214814,4.00,74,2008
205401,4.00,119,2018
124603,4.00,66,2012
286993,4.50,189,2022
267882,3.50,66,2021
188935,2.50,188,2016
241626,3.50,145,2020
241618,5.00,80,2011
245076,3.00,205,2005
236203,2.50,119,1992
196139,3.50,201,1983
185393,0.50,52,2018
138762,2.50,77,2008
288949,0.50,130,2023
288585,5.00,77,2023
288243,4.00,86,1962
284109,5.00,206,2022
276917,5.00,185,2022
276703,5.00,48,1991
273975,4.00,71,1937
273551,0.50,139,1944
273059,4.00,78,1936
271156,5.00,79,2022
270900,5.00,109,2020
270384,5.00,118,2021
269896,2.00,100,1954
260589,0.50,118,2013
255673,3.00,208,2003
249990,4.00,183,1978
249166,4.00,155,1955
247586,5.00,42,1996
244472,2.50,109,2021
243548,5.00,165,1999
238162,5.00,92,1991
